"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://gympluscoffee.com/","text/html; charset=utf-8","200","OK","Indexable","","Gym+Coffee | Life-Ready Activewear Designed for Every Movement","62","598","Discover Gym+Coffee's premium activewear and everyday clothing, designed for every movement. Shop versatile styles that move seamlessly from workouts to everyday life.","167","1064","","0","Field Notes","11","Your recent searches","20","Recommended for you","19","","","","https://gympluscoffee.com/","","","","","","724608","93111","93111","13.799","","618","276","2.239","99.291","Very Easy","0.626","0","0","","69","35","0","100.000","177","90","0","6","3","0","","","","","6de3f4d0b70e76cb1b0a00be69bb09fc","0.468","","","","","en","1.1","","","","","","https://gympluscoffee.com/","2026-09-14 19:07:56"
"https://gympluscoffee.com/cdn/shop/files/ECOM-SNAP-POLAR-FLEECE-GLACIAL-BLUE-10.jpg?v=1787840345&width=48","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","2105","2105","2105","0.312","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.038","Wed, 09 Sep 2026 19:22:27 GMT","","","","","1.1","","","","","","https://gympluscoffee.com/cdn/shop/files/ECOM-SNAP-POLAR-FLEECE-GLACIAL-BLUE-10.jpg?v=1787840345&width=48","2026-09-14 19:07:58"
"https://gympluscoffee.com/cdn/shop/t/26/assets/theme-api.js?v=121018340242226185511783549184","text/javascript","200","OK","Non-Indexable","Canonicalised","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.057","Thu, 13 Aug 2026 03:22:53 GMT","","","","","1.1","","","","","","https://gympluscoffee.com/cdn/shop/t/26/assets/theme-api.js?v=121018340242226185511783549184","2026-09-14 19:07:58"
"https://gympluscoffee.com/cdn/shop/files/ECOM-MENS-RELENTLESS-7_-SHORTS-PETROL-BLUE-1.jpg?v=1786114229&width=48","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","2201","2201","2201","0.326","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.059","Mon, 14 Sep 2026 06:20:37 GMT","","","","","1.1","","","","","","https://gympluscoffee.com/cdn/shop/files/ECOM-MENS-RELENTLESS-7_-SHORTS-PETROL-BLUE-1.jpg?v=1786114229&width=48","2026-09-14 19:07:58"
"https://gympluscoffee.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js","text/javascript","200","OK","Non-Indexable","Canonicalised","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.060","Fri, 28 Aug 2026 03:25:39 GMT","","","","","1.1","","","","","","https://gympluscoffee.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js","2026-09-14 19:07:58"
"https://gympluscoffee.com/cdn/shop/files/ECOM-SIERRA-DRIFT-HOODIE-STORMY-BLUE-6.jpg?v=1786120862&width=48","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","2491","2491","2491","0.369","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.057","Wed, 09 Sep 2026 19:22:27 GMT","","","","","1.1","","","","","","https://gympluscoffee.com/cdn/shop/files/ECOM-SIERRA-DRIFT-HOODIE-STORMY-BLUE-6.jpg?v=1786120862&width=48","2026-09-14 19:07:58"
"https://gympluscoffee.com/cdn/shop/files/ECOM-SNAP-POLAR-FLEECE-PINK-BLOSSOM-11.jpg?v=1787839321&width=48","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","2034","2034","2034","0.301","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.052","Sun, 30 Aug 2026 13:34:48 GMT","","","","","1.1","","","","","","https://gympluscoffee.com/cdn/shop/files/ECOM-SNAP-POLAR-FLEECE-PINK-BLOSSOM-11.jpg?v=1787839321&width=48","2026-09-14 19:07:58"
"https://gympluscoffee.com/cdn/shop/collections/TOP-FILTER-BLOCK-JOGGERS-M.jpg?v=1784017945&width=48","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1278","1278","1278","0.189","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.047","Sat, 05 Sep 2026 21:06:54 GMT","","","","","1.1","","","","","","https://gympluscoffee.com/cdn/shop/collections/TOP-FILTER-BLOCK-JOGGERS-M.jpg?v=1784017945&width=48","2026-09-14 19:07:58"
"https://gympluscoffee.com/cdn/shop/files/1-BRAS-TOPS-BANNER.jpg?v=1783589928&width=48","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","2110","2110","2110","0.313","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.047","Wed, 09 Sep 2026 19:22:28 GMT","","","","","1.1","","","","","","https://gympluscoffee.com/cdn/shop/files/1-BRAS-TOPS-BANNER.jpg?v=1783589928&width=48","2026-09-14 19:07:58"
"https://gympluscoffee.com/cdn/shop/files/ECOM-INDUSTRY-HIGH-COLLAR-NATURAL-9.jpg?v=1788470449&width=48","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","2185","2185","2185","0.324","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.045","Wed, 09 Sep 2026 19:22:27 GMT","","","","","1.1","","","","","","https://gympluscoffee.com/cdn/shop/files/ECOM-INDUSTRY-HIGH-COLLAR-NATURAL-9.jpg?v=1788470449&width=48","2026-09-14 19:07:58"
